hu_ngram,n,count,en_word,en_pron,cost
sék,1,0,shock,ʃ ɑ k,0.6666666666666666
sék + let,2,0,let,l ɛ t,0.5
let,1,0,let,l ɛ t,0.0
ki + zár,2,0,keys,k i z,0.4
ólag,1,0,all,ɔ l,1.0
kor + a,2,0,call,k ɔ l,0.75
öɱ,1,0,oh,oʊ,0.6
meg + old,2,0,mall,m ɔ l,0.5
meg + old + ás,3,0,mall,m ɔ l,0.625
old + ás,2,0,all,ɔ l,0.6
mester,1,0,met,m ɛ t,0.5
méret,1,0,met,m ɛ t,0.4
méret + ű,2,0,met,m ɛ t,0.5
mér + té,2,0,might,m aɪ t,0.8
té,1,0,to,t u,1.0
g,1,0,a,ʌ,2.0
g + ben,2,0,ben,b ɛ n,0.25
per,1,0,pair,p ɛ ɹ,0.6666666666666666
cet,1,0,set,s ɛ t,0.4
teḧ,1,0,tell,t ɛ l,0.6666666666666666
teḧ + nik,2,0,technique,t ɛ k n i k,0.3333333333333333
nik,1,0,nick,n ɪ k,0.0
nik + aji,2,0,nikki,n ɪ k i,0.3333333333333333
tel + ef,2,0,tell,t ɛ l,0.4
tel + ef + on,3,0,tell,t ɛ l,0.5714285714285714
ef,1,0,f,ɛ f,0.0
ef + on,2,0,n,ɛ n,0.5
tel + t,2,0,tell,t ɛ l,0.25
top,1,0,top,t ɑ p,0.6666666666666666
töB,1,0,toe,t oʊ,0.39999999999999997
töB + ij,2,0,t,t i,0.6
töB + ij + ek,3,0,tech,t ɛ k,0.5714285714285714
ij + ek,2,0,week,w i k,0.75
tű,1,0,to,t u,1.0
tű + z,2,0,ties,t aɪ z,0.6666666666666666
válaʃt,1,0,last,l æ s t,0.6666666666666666
válaʃt + ás,2,0,last,l æ s t,0.75
vár + t,2,0,vote,v oʊ t,0.75
ép,1,0,up,ʌ p,1.0
ép + ül,2,0,play,p l eɪ,0.75
ép + ül + t,3,0,plot,p l ɑ t,0.6
at + tak,2,0,take,t eɪ k,0.8
boč,1,0,bot,b ɔ t,0.4
el + kéʃ,2,0,else,ɛ l s,0.4
el + kéʃ + ül,3,0,else,ɛ l s,0.5714285714285714
fizet,1,0,feet,f i t,0.4
fizet + ni,2,0,any,ɛ n i,0.5714285714285714
foj + ó,2,0,for,f ɔ ɹ,0.75
hej + e,2,0,heh,h ɛ,0.5
idő + ʃak,2,0,risk,ɹ ɪ s k,0.6666666666666666
jár + ó,2,0,you,j u,1.0
jük,1,0,you,j u,1.0
köɲv + ek,2,0,coke,k oʊ k,0.5333333333333333
lép + és,2,0,push,p ʊ ʃ,0.8
mag + uŋk,2,0,monk,m ʌ ŋ k,0.6666666666666666
uŋk + at,2,0,looked,l ʊ k t,0.6
man,1,0,man,m æ n,0.6666666666666666
polgár + mester,2,0,let,l ɛ t,0.75
próbál,1,0,play,p l eɪ,0.8333333333333334
ruɦa,1,0,ou,u,0.75
show,1,0,shaw,ʃ ɔ,0.5
val + am + ej,3,0,let,l ɛ t,0.8571428571428571
am + ej,2,0,men,m ɛ n,0.75
ej,1,0,eh,ɛ,0.5
ej + ik,2,0,eric,ɛ ɹ ɪ k,0.5
világ + os,2,0,law,l ɔ,0.7142857142857143
viʃ,1,0,v,v i,0.3333333333333333
viʃ + oɲ,2,0,saw,s ɔ,0.6
lag,1,0,all,ɔ l,1.0
átlag,1,0,tell,t ɛ l,0.8
bal + at,2,0,built,b ɪ l t,0.6
bal + at + on,3,0,lawn,l ɔ n,0.5714285714285714
at + on,2,0,torn,t ɔ ɹ n,0.5
barát + ok,2,0,talk,t ɔ k,0.5714285714285714
eťház,1,0,his,h ɪ z,0.8
feN,1,0,fair,f ɛ ɹ,0.6666666666666666
fő + város,2,0,for,f ɔ ɹ,0.8571428571428571
gon,1,0,gone,g ɔ n,0.6666666666666666
ház + a,2,0,his,h ɪ z,0.75
kap + it,2,0,kit,k ɪ t,0.4
kap + it + áɲ,3,0,kit,k ɪ t,0.5714285714285714
it + áɲ,2,0,it,ɪ t,0.5
kerül + t + ek,3,0,tech,t ɛ k,0.625
kilenc,1,0,let's,l ɛ t s,0.5
küld,1,0,called,k ɔ l d,0.5
küld + öT,2,0,called,k ɔ l d,0.6666666666666666
nije,1,0,knee,n i,0.5
i + n,2,0,in,ɪ n,0.0
meg + lep,2,0,mel,m ɛ l,0.5
meg + lep + et,3,0,melt,m ɛ l t,0.5
lep,1,0,let,l ɛ t,0.6666666666666666
lep + et,2,0,let,l ɛ t,0.4
lep + et + és,3,0,let,l ɛ t,0.5714285714285714
et + és,2,0,et,ɛ t,0.5
muŋká + já,2,0,monk,m ʌ ŋ k,0.7142857142857143
já + t,2,0,yet,j ɛ t,0.6666666666666666
ném + et,2,0,met,m ɛ t,0.4
ném + et + or,3,0,met,m ɛ t,0.5714285714285714
et + or,2,0,et,ɛ t,0.5
et + or + ʃág,3,0,toss,t ɔ s,0.5714285714285714
one,1,0,gone,g ɔ n,0.6666666666666666
or + oʃ,2,0,loss,l ɔ s,0.75
or + oʃ + or,3,0,saw,s ɔ,0.6666666666666666
oʃ,1,0,loss,l ɔ s,0.5
oʃ + or,2,0,saw,s ɔ,0.5
oʃ + or + ʃág,3,0,sauce,s ɔ s,0.5714285714285714
par,1,0,up,ʌ p,1.0
par + lam,2,0,plum,p l ʌ m,0.6666666666666666
par + lam + ent,3,0,meant,m ɛ n t,0.5555555555555556
lam,1,0,mm,m,0.6666666666666666
lam + ent,2,0,meant,m ɛ n t,0.3333333333333333
ent,1,0,went,w ɛ n t,0.3333333333333333
red,1,0,ed,ɛ d,0.3333333333333333
az + za,2,0,is,ɪ z,1.0
vár + ɦat,2,0,vote,v oʊ t,0.8333333333333334
ɦat,1,0,to,t u,1.0
ɦat + ó,2,0,to,t u,1.0
áLam + ok,2,0,more,m ɔ ɹ,0.8333333333333334
óra,1,0,a,ʌ,1.3333333333333333
öŋ,1,0,oh,oʊ,0.6
öŋ + kor,2,0,oak,oʊ k,0.64
öŋ + kor + máɲ,3,0,om,ɔ m,0.75
kor + máɲ,2,0,om,ɔ m,0.6666666666666666
kor + máɲ + zat,3,0,court,k ɔ ɹ t,0.7777777777777778
máɲ,1,0,mm,m,0.6666666666666666
máɲ + zat,2,0,might,m aɪ t,0.8333333333333334
zat,1,0,to,t u,1.0
öröm,1,0,mm,m,0.75
üres,1,0,eh,ɛ,0.75
ak + ad,2,0,could,k ʊ d,0.75
ak + ad + ém,3,0,could,k ʊ d,0.8333333333333334
ad + ém,2,0,damn,d æ m,0.75
ém,1,0,mm,m,0.5
ém + ija,2,0,me,m i,0.6
dolg + oz + ó,3,0,laws,l ɔ z,0.5714285714285714
oz + ó,2,0,laws,l ɔ z,0.6666666666666666
ed + méɲ + e,3,0,m,ɛ m,0.6666666666666666
méɲ + e,2,0,men,m ɛ n,0.75
foj + t,2,0,fought,f ɔ t,0.25
fotó,1,0,fought,f ɔ t,0.25
hat + al,2,0,tell,t ɛ l,0.8
hat + al + om,3,0,law,l ɔ,0.7142857142857143
iskolá,1,0,call,k ɔ l,0.5
teT,1,0,tell,t ɛ l,0.6666666666666666
jeLeg,1,0,yet,j ɛ t,0.8
kat + al,2,0,tell,t ɛ l,0.8
és + e,2,0,share,ʃ ɛ ɹ,0.6666666666666666
kör + é,2,0,co,k oʊ,0.55
ʃok + ás,2,0,saw,s ɔ,0.6
ás + os,2,0,shaw,ʃ ɔ,0.5
talál + t + a,3,0,tilt,t ɪ l t,0.7142857142857143
anak,1,0,neck,n ɛ k,0.75
tavaʃ,1,0,it's,ɪ t s,0.8
tám,1,0,time,t aɪ m,0.6666666666666666
tám + og,2,0,more,m ɔ ɹ,0.8
og,1,0,aw,ɔ,0.5
aŤa,1,0,a,ʌ,1.3333333333333333
ás + i,2,0,she,ʃ i,0.3333333333333333
ad + nak,2,0,down,d aʊ n,0.8
al + bum,2,0,boom,b u m,0.4
bum,1,0,boom,b u m,0.0
alkalm + az,2,0,claims,k l eɪ m z,0.625
alkalm + az + oT,3,0,claims,k l eɪ m z,0.7
az + oT,2,0,aw,ɔ,0.75
buli,1,0,bully,b ʊ l i,0.0
čaj,1,0,sh,ʃ,0.8
čöKen,1,0,ten,t ɛ n,0.5714285714285714
eseméɲ,1,0,m,ɛ m,0.6666666666666666
eseméɲ + ek,2,0,m,ɛ m,0.75
ezüst,1,0,et,ɛ t,0.6
haŋgz,1,0,hangs,h æ ŋ z,0.6
hat + ék,2,0,take,t eɪ k,0.8
hat + ék + oɲ,3,0,take,t eɪ k,0.8571428571428571
ék,1,0,co,k oʊ,1.0
ék + oɲ,2,0,call,k ɔ l,0.75
hej + é,2,0,heh,h ɛ,0.5
idő + s,2,0,id,ɪ d,0.5
jáC + oT,2,0,utah,j u t ɔ,0.7142857142857143
jöj,1,0,yo,j oʊ,0.39999999999999997
kávé,1,0,cave,k eɪ v,0.75
köv + et + keʃ,3,0,coats,k oʊ t s,0.525
et + keʃ,2,0,x,ɛ k s,0.4
keʃ,1,0,'s,ɛ s,0.3333333333333333
ʃe,1,0,said,s ɛ d,0.5
ʃe + B,2,0,said,s ɛ d,0.6666666666666666
nap + ok,2,0,pork,p ɔ ɹ k,0.6
nő + t,2,0,not,n ɑ t,0.6666666666666666
ʃám + ot,2,0,sought,s ɔ t,0.4
ʃínéʃ,1,0,since,s ɪ n s,0.6
talál + ni,2,0,t,t i,0.7142857142857143
alap,1,0,loop,l u p,0.75
ól,1,0,all,ɔ l,1.0
ameƝi,1,0,me,m i,0.6
el + men,2,0,men,m ɛ n,0.4
el + men + t,3,0,meant,m ɛ n t,0.3333333333333333
el + tér,2,0,l,ɛ l,0.6
tér + ő,2,0,to,t u,1.0
elő + ad,2,0,held,h ɛ l d,0.6
elő + ad + ás,3,0,held,h ɛ l d,0.7142857142857143
méɲ + t,2,0,might,m aɪ t,0.75
eséj,1,0,eh,ɛ,0.75
ek + kel,2,0,l,ɛ l,0.6
ǧermek + ek,2,0,gem,dʒ ɛ m,0.625
harc,1,0,hits,h ɪ t s,0.6666666666666666
hét + fő,2,0,half,h æ f,0.8
in + dij,2,0,indie,ɪ n d i,0.2
dij,1,0,d,d i,0.3333333333333333
indul + ó,2,0,hindu,h ɪ n d u,0.5
min + deǧ,2,0,mean,m i n,0.5
min + deǧ + ik,3,0,index,ɪ n d ɛ k s,0.5
deǧ,1,0,edge,ɛ dʒ,0.3333333333333333
deǧ + ik,2,0,dick,d ɪ k,0.4
ɲil,1,0,ill,ɪ l,0.3333333333333333
ɲil + ván,2,0,in,ɪ n,0.6666666666666666
ɲil + ván + os,3,0,in,ɪ n,0.75
ván,1,0,van,v æ n,0.6666666666666666
ván + os,2,0,nor,n ɔ ɹ,0.8
néʃ,1,0,nice,n aɪ s,0.6666666666666666
néʃ + t,2,0,nest,n ɛ s t,0.5
néʃ + t + em,3,0,stem,s t ɛ m,0.3333333333333333
ok + oʃ,2,0,cos,k ɔ s,0.25
oʃ + t,2,0,lost,l ɔ s t,0.3333333333333333
oʃ + t + a,3,0,lost,l ɔ s t,0.5
roƩ + aB,2,0,aw,ɔ,0.8
D,1,0,a,ʌ,2.0
tekint,1,0,tent,t ɛ n t,0.3333333333333333
tá,1,0,to,t u,1.0
tá + k,2,0,take,t eɪ k,0.6666666666666666
táb,1,0,tube,t u b,0.6666666666666666
táb + or,2,0,talk,t ɔ k,0.8
táb + or + nok,3,0,talk,t ɔ k,0.625
or + nok,2,0,talk,t ɔ k,0.8
nok,1,0,talk,t ɔ k,0.6666666666666666
unijó,1,0,knee,n i,0.6
érték,1,0,take,t eɪ k,0.8
nev + ez,2,0,never,n ɛ v ɝ,0.6
nev + ez + eT,3,0,never,n ɛ v ɝ,0.7142857142857143
akcijó,1,0,see,s i,0.75
erő + s + eB,3,0,share,ʃ ɛ ɹ,0.8333333333333334
s + eB,2,0,share,ʃ ɛ ɹ,0.6666666666666666
fel + ad,2,0,fell,f ɛ l,0.4
fel + ad + at,3,0,felt,f ɛ l t,0.42857142857142855
at + a,2,0,to,t u,1.0
fordul,1,0,full,f ʊ l,0.5
fordul + ó,2,0,full,f ʊ l,0.5714285714285714
hajl,1,0,whole,h oʊ l,0.75
hibá,1,0,he,h i,0.5
kij + em,2,0,kim,k ɪ m,0.4
kij + em + el,3,0,kill,k ɪ l,0.5714285714285714
em + el,2,0,mel,m ɛ l,0.25
el + t,2,0,l,ɛ l,0.3333333333333333
kon,1,0,corn,k ɔ ɹ n,0.3333333333333333
kon + cert,2,0,set,s ɛ t,0.6666666666666666
cert,1,0,set,s ɛ t,0.5
kore,1,0,care,k ɛ ɹ,0.75
kriʃ,1,0,kiss,k ɪ s,0.25
kriʃ + tus,2,0,kissed,k ɪ s t,0.42857142857142855
kutat,1,0,cute,k j u t,0.6
kutat + ás,2,0,cute,k j u t,0.7142857142857143
körɲék,1,0,coke,k oʊ k,0.5333333333333333
körɲék + é,2,0,coke,k oʊ k,0.6
körül,1,0,coal,k oʊ l,0.44000000000000006
mek + talál,2,0,met,m ɛ t,0.625
móCer,1,0,might,m aɪ t,0.8571428571428571
ojan + ok,2,0,york,j ɔ ɹ k,0.6666666666666666
pont + ot,2,0,taught,t ɔ t,0.5
pár + os,2,0,paul,p ɔ l,0.8
svéd,1,0,shaved,ʃ eɪ v d,0.5
tal + ál,2,0,tell,t ɛ l,0.8
tal + ál + koz,3,0,laws,l ɔ z,0.625
ál + koz,2,0,laws,l ɔ z,0.4
az + ó,2,0,is,ɪ z,1.0
tul,1,0,tool,t u l,0.0
tul + aj,2,0,tool,t u l,0.4
kéP,1,0,co,k oʊ,1.0
kéP + en,2,0,ken,k ɛ n,0.4
fárat,1,0,fight,f aɪ t,0.8
fárat + t,2,0,fight,f aɪ t,0.8333333333333334
hab,1,0,hub,h ʌ b,0.6666666666666666
ás + ár,2,0,sh,ʃ,0.75
ás + ár + a,3,0,sh,ʃ,0.8
húʃ,1,0,house,h aʊ s,0.6666666666666666
meČ,1,0,met,m ɛ t,0.4
me + ɦet,2,0,met,m ɛ t,0.4
rend + ez,2,0,ends,ɛ n d z,0.3333333333333333
rend + ez + ő,3,0,ends,ɛ n d z,0.42857142857142855
rom,1,0,om,ɔ m,0.3333333333333333
ʃeméj + ek,2,0,sec,s ɛ k,0.5714285714285714
ʃek,1,0,sec,s ɛ k,0.0
ʃek + ʃu,2,0,sex,s ɛ k s,0.2
ʃu,1,0,sue,s u,0.0
ʃu + ál,2,0,school,s k u l,0.5
ʃu + ál + is,3,0,foolish,f u l ɪ ʃ,0.5
tér + en,2,0,ten,t ɛ n,0.4
vev,1,0,ev,ɛ v,0.3333333333333333
vev + ő,2,0,ev,ɛ v,0.5
zavar,1,0,of,ʌ v,1.0
áLít,1,0,to,t u,1.0
dob,1,0,d'or,d ɔ ɹ,0.6666666666666666
fej,1,0,few,f j u,0.6666666666666666
at + al + ok,3,0,talk,t ɔ k,0.5
al + ok,2,0,law,l ɔ,0.5
fiǧ,1,0,fee,f i,0.3333333333333333
fiǧ + el,2,0,feel,f i l,0.4
fiǧ + el + em,3,0,film,f ɪ l m,0.42857142857142855
fogalm,1,0,fall,f ɔ l,0.5
hať,1,0,hatch,h æ tʃ,0.6666666666666666
hať + t,2,0,hit,h ɪ t,0.75
hon,1,0,horn,h ɔ ɹ n,0.3333333333333333
hon + lap,2,0,hall,h ɔ l,0.5
kutat + ó,2,0,cute,k j u t,0.6666666666666666
ó + k,2,0,co,k oʊ,1.0
kér + t,2,0,act,æ k t,0.75
ít + eT + e,3,0,tell,t ɛ l,0.8
eT + e,2,0,eh,ɛ,0.6666666666666666
lak + os,2,0,law,l ɔ,0.6
lak + os + ság,3,0,law,l ɔ,0.75
os + ság,2,0,aw,ɔ,0.8
á + ban,2,0,been,b ɪ n,0.75
meg + változ,2,0,melt,m ɛ l t,0.5555555555555556
mű + véʃ,2,0,move,m u v,0.8
véʃ,1,0,voice,v ɔɪ s,0.6666666666666666
oktat,1,0,oct,ɔ k t,0.4
oktat + ás,2,0,oct,ɔ k t,0.5714285714285714
ʃerv,1,0,ev,ɛ v,0.5
ʃerv + ez,2,0,says,s ɛ z,0.5
ʃámít + oT,2,0,small,s m ɔ l,0.7142857142857143
ʃül + ő,2,0,sale,s eɪ l,0.75
ʃül + ő + k,3,0,silk,s ɪ l k,0.6
ve + Té,2,0,eh,ɛ,0.75
ve + Té + k,3,0,check,tʃ ɛ k,0.8
Té,1,0,a,ʌ,1.5
Té + k,2,0,co,k oʊ,1.0
vál + toz,2,0,laws,l ɔ z,0.5
vál + toz + at,3,0,laws,l ɔ z,0.625
toz,1,0,talk,t ɔ k,0.6666666666666666
toz + at,2,0,taught,t ɔ t,0.4
álom,1,0,law,l ɔ,0.5
ép + ít,2,0,put,p ʊ t,0.75
ép + ít + eT,3,0,put,p ʊ t,0.8333333333333334
érkeʃ,1,0,'s,ɛ s,0.6
ér + té,2,0,to,t u,1.0
ér + té + k,3,0,take,t eɪ k,0.8
té + k,2,0,take,t eɪ k,0.6666666666666666
ʃol,1,0,saul,s ɔ l,0.0
eleg,1,0,l,ɛ l,0.5
el + ér + t,3,0,l,ɛ l,0.6
fej + é,2,0,few,f j u,0.75
fog + lal,2,0,fall,f ɔ l,0.5
fog + lal + koz,3,0,falls,f ɔ l z,0.5555555555555556
lal,1,0,lol,l ɔ l,0.6666666666666666
lal + koz,2,0,laws,l ɔ z,0.5
koz + ik,2,0,kick,k ɪ k,0.4
föl,1,0,fold,f oʊ l d,0.39999999999999997
hamis,1,0,he,h i,0.6
hav,1,0,have,h æ v,0.6666666666666666
huŋ,1,0,who,h u,0.3333333333333333
híd,1,0,had,h æ d,0.6666666666666666
hív,1,0,have,h æ v,0.6666666666666666
idő + s + eB,3,0,id,ɪ d,0.6666666666666666
ir,1,0,e,i,0.5
ir + od,2,0,id,ɪ d,0.5
ir + od + alm,3,0,all,ɔ l,0.7142857142857143
od + alm,2,0,all,ɔ l,0.6
od + alm + i,3,0,audi,ɔ d i,0.5
ismer + i,2,0,me,m i,0.6666666666666666
jö + T + ek,3,0,yo,j oʊ,0.64
baʃ,1,0,base,b eɪ s,0.6666666666666666
költ,1,0,colt,k oʊ l t,0.05
költ + ő,2,0,colt,k oʊ l t,0.24
ʃer + ű + B,3,0,said,s ɛ d,0.8
ű + B,2,0,a,ʌ,1.5
lelk,1,0,l,ɛ l,0.5
level,1,0,level,l ɛ v ʌ l,0.4
med,1,0,med,m ɛ d,0.0
med + en,2,0,men,m ɛ n,0.4
en + ce,2,0,cents,s ɛ n t s,0.5
ce,1,0,it's,ɪ t s,0.75
meǧé,1,0,edge,ɛ dʒ,0.5
min + daƝ,2,0,mean,m i n,0.5
min + daƝ + ij,3,0,mini,m ɪ n i,0.5
daƝ,1,0,do,d u,1.0
daƝ + ij,2,0,d,d i,0.6
ij + an,2,0,in,ɪ n,0.5
mű + sor,2,0,shaw,ʃ ɔ,0.6
ruɦá,1,0,ou,u,0.75
ʃav,1,0,save,s eɪ v,0.6666666666666666
ʃav + ak,2,0,ask,æ s k,0.8
ʃerz + őd,2,0,said,s ɛ d,0.5
ʃerz + őd + és,3,0,said,s ɛ d,0.625
őd + és,2,0,dish,d ɪ ʃ,0.75
őd + és + t,3,0,shit,ʃ ɪ t,0.8
ʃám + á,2,0,some,s ʌ m,0.75
ég + i,2,0,e,i,0.6666666666666666
te + Té,2,0,tell,t ɛ l,0.75
te + Té + k,3,0,tech,t ɛ k,0.4
való + ság,2,0,sh,ʃ,0.8571428571428571
változ + ás,2,0,laws,l ɔ z,0.625
vér,1,0,of,ʌ v,1.0
érez,1,0,says,s ɛ z,0.75
ér + tel,2,0,tell,t ɛ l,0.4
tel + em,2,0,tell,t ɛ l,0.4
em + ben,2,0,men,m ɛ n,0.4
ajáL,1,0,you,j u,1.0
ika,1,0,week,w i k,0.6666666666666666
bátor,1,0,but,b ʌ t,0.8
čer,1,0,tell,t ɛ l,0.8
é + be,2,0,bed,b ɛ d,0.6666666666666666
čomag,1,0,shaw,ʃ ɔ,0.7142857142857143
el + veʃ,2,0,ls,ɛ l ɛ s,0.2
veʃ + eT,2,0,'s,ɛ s,0.6
fi,1,0,fee,f i,0.0
ǧakori,1,0,key,k i,0.6666666666666666
vát,1,0,vote,v oʊ t,0.6666666666666666
kat + eg,2,0,care,k ɛ ɹ,0.8
kat + eg + ór,3,0,care,k ɛ ɹ,0.8571428571428571
eg + ór,2,0,eh,ɛ,0.75
ór,1,0,a,ʌ,1.5
ór + ija,2,0,e,i,0.8
kez + é,2,0,cares,k ɛ ɹ z,0.5
koɱ,1,0,call,k ɔ l,0.6666666666666666
koɱ + fer,2,0,off,ɔ f,0.6666666666666666
koɱ + fer + en,3,0,ken,k ɛ n,0.625
fer,1,0,fair,f ɛ ɹ,0.6666666666666666
fer + en,2,0,n,ɛ n,0.6
en + cija,2,0,any,ɛ n i,0.625
meg + néz,2,0,men's,m ɛ n z,0.3333333333333333
páj,1,0,you,j u,1.0
páj + áz,2,0,pays,p eɪ z,0.8
páj + áz + at,3,0,put,p ʊ t,0.8571428571428571
áz,1,0,is,ɪ z,1.0
áz + at,2,0,to,t u,1.0
sül,1,0,shall,ʃ æ l,0.6666666666666666
nám,1,0,name,n eɪ m,0.6666666666666666
óvatos,1,0,talk,t ɔ k,0.8333333333333334
üzenet,1,0,net,n ɛ t,0.5
aǦák,1,0,co,k oʊ,1.0
alak,1,0,like,l aɪ k,0.75
vet + ő,2,0,vet,v ɛ t,0.25
bőv,1,0,of,ʌ v,1.0
čüt,1,0,shit,ʃ ɪ t,0.8
čüt + ör,2,0,show,ʃ oʊ,0.7428571428571429
čüt + ör + tök,3,0,show,ʃ oʊ,0.82
ör,1,0,oh,oʊ,0.6
ör + tök,2,0,oak,oʊ k,0.64
don,1,0,dawn,d ɔ n,0.0
en + er,2,0,n,ɛ n,0.5
en + er + gija,3,0,any,ɛ n i,0.625
er + gija,2,0,any,ɛ n i,0.8333333333333334
gija,1,0,e,i,0.75
eʃköz,1,0,echoes,ɛ k oʊ z,0.24
eʃköz + ök,2,0,echoes,ɛ k oʊ z,0.4571428571428572
fej + em,2,0,m,ɛ m,0.6
fej + leʃt,2,0,felt,f ɛ l t,0.42857142857142855
fej + leʃt + és,3,0,felt,f ɛ l t,0.5555555555555556
leʃt,1,0,lest,l ɛ s t,0.0
leʃt + és,2,0,lest,l ɛ s t,0.3333333333333333
leʃt + és + i,3,0,lest,l ɛ s t,0.42857142857142855
fiǧelm,1,0,film,f ɪ l m,0.3333333333333333
fojam,1,0,form,f ɔ ɹ m,0.6
ek + nek,2,0,neck,n ɛ k,0.4
hejzed,1,0,head,h ɛ d,0.5
hit,1,0,hit,h ɪ t,0.0
ismer + ő,2,0,im,ɪ m,0.6666666666666666
ismer + ő + s,3,0,mesh,m ɛ ʃ,0.5714285714285714
jo + b,2,0,your,j ɔ ɹ,0.6666666666666666
b,1,0,be,b i,1.0
jön + ni,2,0,knee,n i,0.6
kel + t,2,0,l,ɛ l,0.5
kór,1,0,co,k oʊ,1.0
kór + ɦáz,2,0,'cause,k ʌ z,0.8333333333333334
ǧenek,1,0,neck,n ɛ k,0.4
min + im,2,0,mini,m ɪ n i,0.2
um,1,0,room,ɹ u m,0.5
min + iʃ + tér,3,0,missed,m ɪ s t,0.5
iʃ + tér,2,0,east,i s t,0.4
iʃ + tér + ij,3,0,east,i s t,0.5714285714285714
tér + ij,2,0,t,t i,0.6
tér + ij + um,3,0,team,t i m,0.5714285714285714
ij + um,2,0,eu,i j u,0.25
másnap,1,0,man,m æ n,0.8333333333333334
or + ʃág + ban,3,0,been,b ɪ n,0.875
ʃág + ban,2,0,been,b ɪ n,0.8333333333333334
reg,1,0,eh,ɛ,0.6666666666666666
ij + on,2,0,in,ɪ n,0.5
ij + on + ál,3,0,y'all,j ɔ l,0.5
on + ál,2,0,all,ɔ l,0.5
on + ál + is,3,0,all,ɔ l,0.6666666666666666
rend + őr + ök,3,0,end,ɛ n d,0.625
őr + ök,2,0,oak,oʊ k,0.55
ʃem + em,2,0,m,ɛ m,0.6
tanul,1,0,tool,t u l,0.4
termék,1,0,tech,t ɛ k,0.5
termék + ek,2,0,tech,t ɛ k,0.625
ül + et + i,3,0,let,l ɛ t,0.4
vilák,1,0,vic,v ɪ k,0.4
ʃerte,1,0,set,s ɛ t,0.4
viƩa + tér,2,0,it,ɪ t,0.7142857142857143
viƩa + tér + t,3,0,it,ɪ t,0.75
tér + t,2,0,taught,t ɔ t,0.75
védelm,1,0,del,d ɛ l,0.5
védelm + i,2,0,delhi,d ɛ l i,0.42857142857142855
ért + et,2,0,test,t ɛ s t,0.6
ért + et + t,3,0,test,t ɛ s t,0.6666666666666666
et + t,2,0,et,ɛ t,0.3333333333333333
et + t + em,3,0,m,ɛ m,0.6
étel,1,0,tell,t ɛ l,0.25
at + tam,2,0,time,t aɪ m,0.8
ajáL + oT,2,0,your,j ɔ ɹ,0.8333333333333334
amejik,1,0,mc,m ɪ k,0.5
arc,1,0,it's,ɪ t s,0.8
dan,1,0,down,d aʊ n,0.6666666666666666
do,1,0,d'or,d ɔ ɹ,0.5
el + felejt,2,0,felt,f ɛ l t,0.5
el + felejt + et,3,0,felt,f ɛ l t,0.6
felejt,1,0,felt,f ɛ l t,0.3333333333333333
felejt + et,2,0,felt,f ɛ l t,0.5
erdő,1,0,ed,ɛ d,0.5
ileg,1,0,ill,ɪ l,0.5
haČ,1,0,hit,h ɪ t,0.8
haČ + er,2,0,heh,h ɛ,0.7142857142857143
haČ + er + eg,3,0,heh,h ɛ,0.7777777777777778
er + eg,2,0,eh,ɛ,0.75
kapu,1,0,coup,k u,0.5
kert,1,0,kept,k ɛ p t,0.5
társ,1,0,sh,ʃ,0.75
levegő,1,0,levy,l ɛ v i,0.6666666666666666
orʃág + ok,2,0,saw,s ɔ,0.7142857142857143
példa,1,0,played,p l eɪ d,0.6
en + čé + s,3,0,went,w ɛ n t,0.7142857142857143
čé + s,2,0,sh,ʃ,0.8
ʃoros,1,0,saw,s ɔ,0.6
oT + a,2,0,aw,ɔ,0.6666666666666666
teḧ + nol,2,0,tell,t ɛ l,0.5
teḧ + nol + óg,3,0,tell,t ɛ l,0.625
nol,1,0,all,ɔ l,0.3333333333333333
nol + óg,2,0,all,ɔ l,0.6
óg,1,0,a,ʌ,1.5
óg + ija,2,0,e,i,0.8
töpség,1,0,toe,t oʊ,0.7000000000000001
tömeg,1,0,toe,t oʊ,0.64
up,1,0,loop,l u p,0.5
zen,1,0,zen,z ɛ n,0.0
zen + é,2,0,zen,z ɛ n,0.25
ír + ás,2,0,sh,ʃ,0.75
út + i,2,0,t,t i,0.3333333333333333
buʃ,1,0,books,b ʊ k s,0.3333333333333333
chris,1,0,he,h i,0.7142857142857143
díj + as,2,0,dish,d ɪ ʃ,0.8
eǧ + értelm,2,0,tell,t ɛ l,0.625
eǧ + értelm + ű,3,0,tell,t ɛ l,0.6666666666666666
értelm + ű,2,0,tell,t ɛ l,0.5714285714285714
eJár,1,0,eh,ɛ,0.75
eJár + ás,2,0,eh,ɛ,0.8333333333333334
fordul + t,2,0,fault,f ɔ l t,0.42857142857142855
foR + ad,2,0,ford,f ɔ ɹ d,0.6
foR + ad + al,3,0,fall,f ɔ l,0.5714285714285714
ad + al,2,0,deal,d i l,0.75
ad + al + om,3,0,law,l ɔ,0.6666666666666666
hölǧ,1,0,whole,h oʊ l,0.3
iN,1,0,e,i,0.5
ad + ba,2,0,dub,d ʌ b,0.75
kötet,1,0,coat,k oʊ t,0.44000000000000006
öz + ő,2,0,owes,oʊ z,0.39999999999999997
mek + határ,2,0,met,m ɛ t,0.625
mek + határ + oz,3,0,met,m ɛ t,0.7
határ,1,0,hit,h ɪ t,0.8
határ + oz,2,0,halls,h ɔ l z,0.7142857142857143
part,1,0,put,p ʊ t,0.75
