hu_ngram,n,en_word,en_pron,cost,count
csecs,1,when,w ɛ n,2.24,4
ers,1,end,ɛ n d,2.24,4
ihl,1,it's,ɪ t s,2.24,4
rich,1,with,w ɪ ð,2.24,4
wes,1,when,w ɛ n,2.24,4
öccs,1,old,oʊ l d,2.24,4
ei,1,'s,ɛ s,2.26,287
ai,1,on,ɑ n,2.26,223
össze,1,own,oʊ n,2.26,105
ika,1,in,ɪ n,2.26,58
arc,1,on,ɑ n,2.26,25
oda,1,all,ɔ l,2.26,19
ere,1,'s,ɛ s,2.26,12
ati,1,it,ɪ t,2.26,11
ori,1,all,ɔ l,2.26,11
oszl,1,all,ɔ l,2.26,8
angyal,1,on,ɑ n,2.26,7
annyi,1,on,ɑ n,2.26,7
ica,1,in,ɪ n,2.26,7
oml,1,all,ɔ l,2.26,7
abba,1,on,ɑ n,2.26,6
atyá,1,on,ɑ n,2.26,6
osó,1,all,ɔ l,2.26,6
ebo,1,'s,ɛ s,2.26,5
ora,1,all,ɔ l,2.26,5
ore,1,all,ɔ l,2.26,5
orl,1,all,ɔ l,2.26,5
orá,1,all,ɔ l,2.26,5
aga,1,on,ɑ n,2.26,4
ali,1,on,ɑ n,2.26,4
ara,1,on,ɑ n,2.26,4
enyhít,1,n,ɛ n,2.26,4
nyaral,1,na,n ɑ,2.26,4
olyg,1,all,ɔ l,2.26,4
ula,1,all,ɔ l,2.26,4
ute,1,it,ɪ t,2.26,4
alap,1,stop,s t ɑ p,2.27,55
autó,1,puts,p ʊ t s,2.27,51
ogat,1,spot,s p ɑ t,2.27,51
biztos,1,built,b ɪ l t,2.27,41
pénz,1,please,p l i z,2.27,41
kérd,1,called,k ɔ l d,2.27,36
rendel,1,send,s ɛ n d,2.27,36
akar,1,scott,s k ɑ t,2.27,33
képz,1,calls,k ɔ l z,2.27,33
mester,1,meant,m ɛ n t,2.27,31
vált,1,felt,f ɛ l t,2.27,29
gyűjt,1,joint,dʒ ɔɪ n t,2.27,28
gyárt,1,joint,dʒ ɔɪ n t,2.27,24
lémá,1,lamp,l æ m p,2.27,24
ipar,1,spot,s p ɑ t,2.27,23
irat,1,spot,s p ɑ t,2.27,21
ítél,1,still,s t ɪ l,2.27,20
vendég,1,send,s ɛ n d,2.27,18
atok,1,stock,s t ɑ k,2.27,16
birtok,1,built,b ɪ l t,2.27,16
utal,1,still,s t ɪ l,2.27,15
párt,1,point,p ɔɪ n t,2.27,14
sért,1,shift,ʃ ɪ f t,2.27,14
tánc,1,turned,t ɝ n d,2.27,14
alud,1,played,p l eɪ d,2.27,11
aim,1,swim,s w ɪ m,2.27,10
börtön,1,bolt,b oʊ l t,2.27,10
alom,1,claim,k l eɪ m,2.27,9
lánc,1,land,l æ n d,2.27,9
odik,1,click,k l ɪ k,2.27,9
sztár,1,still,s t ɪ l,2.27,9
akad,1,scott,s k ɑ t,2.27,8
alatt,1,block,b l ɑ k,2.27,8
láng,1,link,l ɪ ŋ k,2.27,8
mányz,1,miles,m aɪ l z,2.27,8
múlt,1,felt,f ɛ l t,2.27,8
trón,1,twin,t w ɪ n,2.27,8
aik,1,click,k l ɪ k,2.27,7
krém,1,claim,k l eɪ m,2.27,7
arat,1,spot,s p ɑ t,2.27,6
atom,1,steam,s t i m,2.27,6
hálá,1,held,h ɛ l d,2.27,6
illat,1,spot,s p ɑ t,2.27,6
mondat,1,mind,m aɪ n d,2.27,6
pótl,1,puts,p ʊ t s,2.27,6
svéd,1,shield,ʃ i l d,2.27,6
titkár,1,tits,t ɪ t s,2.27,6
tönkre,1,tank,t æ ŋ k,2.27,6
gyújt,1,joint,dʒ ɔɪ n t,2.27,5
ijed,1,fled,f l ɛ d,2.27,5
krón,1,clean,k l i n,2.27,5
nánk,1,think,θ ɪ ŋ k,2.27,5
nénk,1,think,θ ɪ ŋ k,2.27,5
stát,1,state,s t eɪ t,2.27,5
sújt,1,shift,ʃ ɪ f t,2.27,5
titkol,1,tits,t ɪ t s,2.27,5
térd,1,told,t oʊ l d,2.27,5
alany,1,block,b l ɑ k,2.27,4
bátr,1,boots,b u t s,2.27,4
béké,1,books,b ʊ k s,2.27,4
festék,1,felt,f ɛ l t,2.27,4
frey,1,flesh,f l ɛ ʃ,2.27,4
készt,1,can't,k æ n t,2.27,4
plakát,1,block,b l ɑ k,2.27,4
pléb,1,place,p l eɪ s,2.27,4
póló,1,pulled,p ʊ l d,2.27,4
ári,1,ski,s k i,2.29,7
óri,1,ski,s k i,2.29,7
áru,1,blue,b l u,2.307,12
körzet,1,calls,k ɔ l z,2.307,9
aid,1,speed,s p i d,2.308,7
féle,1,field,f i l d,2.32,17
emelet,1,smell,s m ɛ l,2.32,9
alul,1,school,s k u l,2.32,4
tro,1,slow,s l oʊ,2.323,7
dro,1,slow,s l oʊ,2.323,4
lywo,1,slow,s l oʊ,2.323,4
fordul,1,fold,f oʊ l d,2.333,57
fordít,1,fold,f oʊ l d,2.333,30
büntet,1,burnt,b ɝ n t,2.333,22
hordoz,1,hold,h oʊ l d,2.333,8
ural,1,skull,s k ʌ l,2.333,8
parkol,1,punk,p ʌ ŋ k,2.333,7
doktor,1,don't,d oʊ n t,2.333,6
orosz,1,close,k l oʊ s,2.333,6
ion,1,stone,s t oʊ n,2.333,4
ít,1,stay,s t eɪ,2.34,734
re,1,when,w ɛ n,2.34,518
ál,1,play,p l eɪ,2.34,391
ék,1,sky,s k aɪ,2.34,194
át,1,stay,s t eɪ,2.34,164
él,1,play,p l eɪ,2.34,137
ép,1,spy,s p aɪ,2.34,103
fő,1,fly,f l aɪ,2.34,102
án,1,snow,s n oʊ,2.34,87
út,1,stay,s t eɪ,2.34,80
ól,1,play,p l eɪ,2.34,52
nk,1,sky,s k aɪ,2.34,49
ét,1,stay,s t eɪ,2.34,40
szó,1,stay,s t eɪ,2.34,33
tte,1,when,w ɛ n,2.34,33
ce,1,when,w ɛ n,2.34,25
fá,1,fly,f l aɪ,2.34,23
én,1,snow,s n oʊ,2.34,18
ge,1,when,w ɛ n,2.34,16
kő,1,clay,k l eɪ,2.34,16
szá,1,stay,s t eɪ,2.34,15
ől,1,play,p l eɪ,2.34,10
fű,1,fly,f l aɪ,2.34,9
bá,1,blue,b l u,2.34,8
bé,1,blue,b l u,2.34,8
bú,1,blue,b l u,2.34,7
ák,1,sky,s k aɪ,2.34,7
ká,1,clay,k l eɪ,2.34,6
ké,1,clay,k l eɪ,2.34,5
áp,1,spy,s p aɪ,2.34,5
óp,1,spy,s p aɪ,2.34,5
őt,1,stay,s t eɪ,2.34,5
bő,1,blue,b l u,2.34,4
cse,1,when,w ɛ n,2.34,4
kó,1,clay,k l eɪ,2.34,4
pá,1,play,p l eɪ,2.34,4
ín,1,snow,s n oʊ,2.34,4
ők,1,sky,s k aɪ,2.34,4
nyugat,1,new,n u,2.36,14
nyugod,1,new,n u,2.36,4
geo,1,slow,s l oʊ,2.39,4
kerül,1,kent,k ɛ n t,2.42,68
beszél,1,belt,b ɛ l t,2.42,62
barát,1,box,b ɑ k s,2.42,60
munká,1,think,θ ɪ ŋ k,2.42,50
család,1,golf,g ɑ l f,2.42,45
munka,1,think,θ ɪ ŋ k,2.42,45
segít,1,shelf,ʃ ɛ l f,2.42,45
csinál,1,hint,h ɪ n t,2.42,41
gazda,1,bond,b ɑ n d,2.42,26
formá,1,fault,f ɔ l t,2.42,18
mesél,1,meant,m ɛ n t,2.42,18
érint,1,skin,s k ɪ n,2.42,18
bocsát,1,balls,b ɔ l z,2.42,16
borít,1,balls,b ɔ l z,2.42,16
beszéd,1,belt,b ɛ l t,2.42,15
merül,1,meant,m ɛ n t,2.42,15
levél,1,left,l ɛ f t,2.42,13
kerék,1,kent,k ɛ n t,2.42,12
legény,1,left,l ɛ f t,2.42,12
becsül,1,belt,b ɛ l t,2.42,11
kció,1,click,k l ɪ k,2.42,11
szárny,1,skin,s k ɪ n,2.42,11
derít,1,dealt,d ɛ l t,2.42,10
gitár,1,hits,h ɪ t s,2.42,10
vetít,1,gets,g ɛ t s,2.42,10
fehér,1,felt,f ɛ l t,2.42,9
helyre,1,held,h ɛ l d,2.42,9
sajtó,1,want,w ɑ n t,2.42,9
feszít,1,felt,f ɛ l t,2.42,8
gyengé,1,jets,dʒ ɛ t s,2.42,8
hniká,1,click,k l ɪ k,2.42,8
senki,1,think,θ ɪ ŋ k,2.42,8
tmény,1,twin,t w ɪ n,2.42,8
hnika,1,click,k l ɪ k,2.42,7
kemény,1,camp,k æ m p,2.42,7
mellék,1,meant,m ɛ n t,2.42,7
speci,1,spell,s p ɛ l,2.42,7
szembe,1,self,s ɛ l f,2.42,7
ília,1,click,k l ɪ k,2.42,7
bombá,1,balls,b ɔ l z,2.42,6
derül,1,dealt,d ɛ l t,2.42,6
feküd,1,sex,s ɛ k s,2.42,6
kerít,1,kent,k ɛ n t,2.42,6
saját,1,shots,ʃ ɑ t s,2.42,6
énekl,1,snake,s n eɪ k,2.42,6
csapdá,1,bond,b ɑ n d,2.42,5
fajtá,1,want,w ɑ n t,2.42,5
feszül,1,felt,f ɛ l t,2.42,5
forma,1,fault,f ɔ l t,2.42,5
gazdá,1,bond,b ɑ n d,2.42,5
ritká,1,think,θ ɪ ŋ k,2.42,5
stadi,1,stop,s t ɑ p,2.42,5
émia,1,smith,s m ɪ θ,2.42,5
émiá,1,smith,s m ɪ θ,2.42,5
ómia,1,smith,s m ɪ θ,2.42,5
bányá,1,band,b æ n d,2.42,4
merít,1,meant,m ɛ n t,2.42,4
mezőny,1,meant,m ɛ n t,2.42,4
tempó,1,camp,k æ m p,2.42,4
transz,1,twin,t w ɪ n,2.42,4
trend,1,twin,t w ɪ n,2.42,4
zenész,1,went,w ɛ n t,2.42,4
ápiá,1,spin,s p ɪ n,2.42,4
ünnepl,1,step,s t ɛ p,2.42,4
j]=té,1,yet,j ɛ t,2.44,165
j]=tá,1,yet,j ɛ t,2.44,156
vezet,1,says,s ɛ z,2.44,92
jelen,1,well,w ɛ l,2.44,80
mutat,1,might,m aɪ t,2.44,78
keres,1,ken,k ɛ n,2.44,60
fogad,1,fall,f ɔ l,2.44,51
szeret,1,said,s ɛ d,2.44,42
gyerek,1,jeff,dʒ ɛ f,2.44,40
kezel,1,says,s ɛ z,2.44,34
csapat,1,top,t ɑ p,2.44,30
repül,1,yep,j ɛ p,2.44,28
teljes,1,tell,t ɛ l,2.44,26
jelöl,1,well,w ɛ l,2.44,23
szerel,1,said,s ɛ d,2.44,23
javít,1,you've,j u v,2.44,22
nevel,1,net,n ɛ t,2.44,22
szerep,1,said,s ɛ d,2.44,22
level,1,love,l ʌ v,2.44,20
temet,1,time,t aɪ m,2.44,20
sereg,1,shell,ʃ ɛ l,2.44,19
remény,1,them,ð ɛ m,2.44,18
témá,1,time,t aɪ m,2.44,17
janak,1,john,dʒ ɑ n,2.44,15
lemez,1,them,ð ɛ m,2.44,15
folyam,1,fall,f ɔ l,2.44,14
jenek,1,when,w ɛ n,2.44,14
veszít,1,yes,j ɛ s,2.44,14
keret,1,ken,k ɛ n,2.44,13
bukkan,1,book,b ʊ k,2.44,12
meleg,1,well,w ɛ l,2.44,12
nehez,1,net,n ɛ t,2.44,12
nehéz,1,net,n ɛ t,2.44,12
rövid,1,nov,n oʊ v,2.44,12
kever,1,ken,k ɛ n,2.44,11
kávé,1,cave,k eɪ v,2.44,11
nevet,1,net,n ɛ t,2.44,11
vagyon,1,lodge,l ɑ dʒ,2.44,11
vezér,1,says,s ɛ z,2.44,11
dolog,1,call,k ɔ l,2.44,10
kelet,1,well,w ɛ l,2.44,10
kerek,1,ken,k ɛ n,2.44,10
rabol,1,job,dʒ ɑ b,2.44,10
remél,1,them,ð ɛ m,2.44,10
gyalog,1,job,dʒ ɑ b,2.44,9
jatok,1,not,n ɑ t,2.44,9
rokon,1,talk,t ɔ k,2.44,9
senek,1,when,w ɛ n,2.44,9
teher,1,tell,t ɛ l,2.44,9
doboz,1,dog,d ɔ g,2.44,8
jelleg,1,yet,j ɛ t,2.44,8
jóvá,1,you've,j u v,2.44,8
vörös,1,vote,v oʊ t,2.44,8
gonosz,1,gone,g ɔ n,2.44,7
j]=te,1,yet,j ɛ t,2.44,7
jellem,1,yet,j ɛ t,2.44,7
keves,1,ken,k ɛ n,2.44,7
mutas,1,might,m aɪ t,2.44,7
názi,1,news,n u z,2.44,7
pokol,1,talk,t ɔ k,2.44,7
cukor,1,look,l ʊ k,2.44,6
javul,1,you've,j u v,2.44,6
sanak,1,john,dʒ ɑ n,2.44,6
terep,1,tell,t ɛ l,2.44,6
zanak,1,john,dʒ ɑ n,2.44,6
ördög,1,old,oʊ l d,2.44,6
dobog,1,dog,d ɔ g,2.44,5
fenek,1,when,w ɛ n,2.44,5
néni,1,known,n oʊ n,2.44,5
ragyog,1,lodge,l ɑ dʒ,2.44,5
terel,1,tell,t ɛ l,2.44,5
vadász,1,god,g ɑ d,2.44,5
vezes,1,says,s ɛ z,2.44,5
borul,1,ball,b ɔ l,2.44,4
csatol,1,not,n ɑ t,2.44,4
döbben,1,dose,d oʊ s,2.44,4
lebeg,1,let,l ɛ t,2.44,4
negyed,1,net,n ɛ t,2.44,4
pohár,1,paul,p ɔ l,2.44,4
remeg,1,them,ð ɛ m,2.44,4
setek,1,get,g ɛ t,2.44,4
zenek,1,when,w ɛ n,2.44,4
zóná,1,zone,z oʊ n,2.44,4
eink,1,swing,s w ɪ ŋ,2.47,11
sport,1,spoke,s p oʊ k,2.482,15
front,1,stone,s t oʊ n,2.482,6
büszke,1,bank,b æ ŋ k,2.482,4
áraszt,1,plus,p l ʌ s,2.482,4
örökl,1,smoke,s m oʊ k,2.52,4
zavar,1,love,l ʌ v,2.523,24
üldöz,1,old,oʊ l d,2.523,11
csomag,1,home,h oʊ m,2.523,9
farag,1,fuck,f ʌ k,2.523,5
csavar,1,love,l ʌ v,2.523,4
füzet,1,full,f ʊ l,2.523,4
rovar,1,nov,n oʊ v,2.523,4
ás,1,ash,æ ʃ,2.56,1816
és,1,ash,æ ʃ,2.56,1557
já,1,you,j u,2.56,306
őd,1,i'd,aɪ d,2.56,123
év,1,of,ʌ v,2.56,122
nő,1,no,n oʊ,2.56,115
mű,1,my,m aɪ,2.56,110
jé,1,you,j u,2.56,100
ész,1,us,ʌ s,2.56,98
tá,1,to,t u,2.56,89
ód,1,i'd,aɪ d,2.56,80
áb,1,ab,æ b,2.56,78
ló,1,law,l ɔ,2.56,58
ász,1,us,ʌ s,2.56,51
ív,1,of,ʌ v,2.56,43
té,1,to,t u,2.56,37
áz,1,is,ɪ z,2.56,36
tó,1,to,t u,2.56,34
hő,1,he,h i,2.56,33
ná,1,no,n oʊ,2.56,30
tő,1,to,t u,2.56,28
lő,1,law,l ɔ,2.56,27
hó,1,he,h i,2.56,25
történ,1,toe,t oʊ,2.56,24
ágy,1,age,eɪ dʒ,2.56,24
né,1,no,n oʊ,2.56,23
vé,1,v,v i,2.56,22
azonos,1,oz,ɑ z,2.56,21
jó,1,you,j u,2.56,21
tű,1,to,t u,2.56,21
hű,1,he,h i,2.56,20
óz,1,is,ɪ z,2.56,20
ős,1,ash,æ ʃ,2.56,20
só,1,she,ʃ i,2.56,19
jú,1,you,j u,2.56,18
tartoz,1,ta,t ɑ,2.56,18
íz,1,is,ɪ z,2.56,16
sé,1,she,ʃ i,2.56,15
ősz,1,us,ʌ s,2.56,15
sd,1,i'd,aɪ d,2.56,13
úsz,1,us,ʌ s,2.56,13
ád,1,i'd,aɪ d,2.56,12
idegen,1,id,ɪ d,2.56,10
má,1,my,m aɪ,2.56,10
vá,1,v,v i,2.56,10
ső,1,she,ʃ i,2.56,9
óv,1,of,ʌ v,2.56,9
úgy,1,age,eɪ dʒ,2.56,9
ay,1,on,ɑ n,2.56,8
lá,1,law,l ɔ,2.56,8
lé,1,law,l ɔ,2.56,8
tartam,1,ta,t ɑ,2.56,8
törekv,1,toe,t oʊ,2.56,8
őz,1,is,ɪ z,2.56,8
dá,1,do,d u,2.56,7
eléged,1,l,ɛ l,2.56,7
harcol,1,ha,h ɑ,2.56,7
jű,1,you,j u,2.56,7
palotá,1,pa,p ɑ,2.56,7
sá,1,she,ʃ i,2.56,7
éb,1,ab,æ b,2.56,7
ób,1,ab,æ b,2.56,7
űz,1,is,ɪ z,2.56,7
dő,1,do,d u,2.56,6
hajnal,1,ha,h ɑ,2.56,6
sí,1,she,ʃ i,2.56,6
éz,1,is,ɪ z,2.56,6
ós,1,ash,æ ʃ,2.56,6
dó,1,do,d u,2.56,5
elégít,1,l,ɛ l,2.56,5
áv,1,of,ʌ v,2.56,5
ósz,1,us,ʌ s,2.56,5
hajlam,1,ha,h ɑ,2.56,4
harang,1,ha,h ɑ,2.56,4
idézet,1,id,ɪ d,2.56,4
izgalm,1,is,ɪ z,2.56,4
market,1,ma,m ɑ,2.56,4
mé,1,my,m aɪ,2.56,4
palota,1,pa,p ɑ,2.56,4
j]=ot,1,state,s t eɪ t,2.57,62
ció,1,think,θ ɪ ŋ k,2.57,40
prog,1,place,p l eɪ s,2.57,32
állam,1,stop,s t ɑ p,2.57,28
ruhá,1,looks,l ʊ k s,2.57,26
ciá,1,think,θ ɪ ŋ k,2.57,23
érez,1,please,p l i z,2.57,19
üveg,1,step,s t ɛ p,2.57,17
proj,1,place,p l eɪ s,2.57,14
vers,1,left,l ɛ f t,2.57,14
prof,1,place,p l eɪ s,2.57,13
vallá,1,want,w ɑ n t,2.57,12
giá,1,think,θ ɪ ŋ k,2.57,10
tner,1,step,s t ɛ p,2.57,10
áram,1,stop,s t ɑ p,2.57,10
char,1,stop,s t ɑ p,2.57,9
j]=öt,1,state,s t eɪ t,2.57,7
prom,1,place,p l eɪ s,2.57,7
cham,1,stop,s t ɑ p,2.57,6
chen,1,plan,p l æ n,2.57,6
trag,1,stop,s t ɑ p,2.57,6
tver,1,step,s t ɛ p,2.57,6
zajl,1,want,w ɑ n t,2.57,6
üzen,1,plan,p l æ n,2.57,6
chan,1,stop,s t ɑ p,2.57,5
chic,1,still,s t ɪ l,2.57,5
golyó,1,called,k ɔ l d,2.57,5
gramm,1,stop,s t ɑ p,2.57,5
prov,1,place,p l eɪ s,2.57,5
sher,1,step,s t ɛ p,2.57,5
show,1,small,s m ɔ l,2.57,5
trom,1,small,s m ɔ l,2.57,5
cher,1,step,s t ɛ p,2.57,4
cucc,1,looks,l ʊ k s,2.57,4
drog,1,small,s m ɔ l,2.57,4
lgass,1,stop,s t ɑ p,2.57,4
reng,1,think,θ ɪ ŋ k,2.57,4
ther,1,step,s t ɛ p,2.57,4
ellen,1,plan,p l æ n,2.62,51
ezer,1,step,s t ɛ p,2.62,18
euró,1,looks,l ʊ k s,2.62,6
trükk,1,twice,t w aɪ s,2.632,6
hirdet,1,he,h i,2.635,20
millió,1,me,m i,2.635,18
bizalm,1,be,b i,2.635,9
nivaló,1,knee,n i,2.635,8
kiált,1,key,k i,2.635,6
hiányz,1,he,h i,2.635,5
figurá,1,fee,f i,2.635,4
virágz,1,v,v i,2.635,4
ány,1,snow,s n oʊ,2.64,124
ény,1,snow,s n oʊ,2.64,115
bánya,1,been,b ɪ n,2.64,7
sugárz,1,shoe,ʃ u,2.66,8
jutalm,1,you,j u,2.66,6
öreg,1,step,s t ɛ p,2.67,13
összeg,1,step,s t ɛ p,2.67,12
öröm,1,close,k l oʊ s,2.67,11
korlát,1,co,k oʊ,2.685,20
kaland,1,ca,k ʌ,2.685,8
mozdul,1,mo,m oʊ,2.685,7
koroná,1,co,k oʊ,2.685,6
karban,1,ca,k ʌ,2.685,5
alakít,1,block,b l ɑ k,2.72,42
alakul,1,block,b l ɑ k,2.72,31
hány,1,hand,h æ n d,2.72,14
utál,1,still,s t ɪ l,2.72,12
után,1,stone,s t oʊ n,2.72,10
péntek,1,point,p ɔɪ n t,2.72,7
utód,1,stood,s t ʊ d,2.72,7
türelm,1,to,t u,2.735,7
utolsó,1,stole,s t oʊ l,2.783,6
ázs,1,is,ɪ z,2.785,9
ség,1,should,ʃ ʊ d,2.84,685
ság,1,should,ʃ ʊ d,2.84,485
vál,1,will,w ɪ l,2.84,191
ről,1,will,w ɪ l,2.84,166
ják,1,like,l aɪ k,2.84,152
rész,1,this,ð ɪ s,2.84,135
tér,1,time,t aɪ m,2.84,128
ról,1,will,w ɪ l,2.84,124
vár,1,vote,v oʊ t,2.84,122
ért,1,that,ð æ t,2.84,121
tár,1,time,t aɪ m,2.84,120
gál,1,will,w ɪ l,2.84,99
vég,1,vote,v oʊ t,2.84,93
jár,1,use,j u s,2.84,83
más,1,make,m eɪ k,2.84,76
szág,1,some,s ʌ m,2.84,75
zár,1,zone,z oʊ n,2.84,64
mér,1,make,m eɪ k,2.84,59
gép,1,keep,k i p,2.84,58
kér,1,can,k æ n,2.84,58
pár,1,put,p ʊ t,2.84,58
vér,1,vote,v oʊ t,2.84,56
egész,1,end,ɛ n d,2.84,55
tály,1,time,t aɪ m,2.84,54
cél,1,will,w ɪ l,2.84,50
száll,1,some,s ʌ m,2.84,49
táv,1,have,h æ v,2.84,45
vág,1,vote,v oʊ t,2.84,45
díj,1,did,d ɪ d,2.84,43
hír,1,have,h æ v,2.84,43
vél,1,will,w ɪ l,2.84,40
víz,1,was,w ɑ z,2.84,40
bír,1,but,b ʌ t,2.84,38
cím,1,time,t aɪ m,2.84,34
súly,1,should,ʃ ʊ d,2.84,32
kár,1,can,k æ n,2.84,31
őrz,1,was,w ɑ z,2.84,29
szár,1,some,s ʌ m,2.84,28
zék,1,like,l aɪ k,2.84,28
érz,1,was,w ɑ z,2.84,28
sír,1,should,ʃ ʊ d,2.84,26
mély,1,make,m eɪ k,2.84,25
zák,1,like,l aɪ k,2.84,25
bár,1,but,b ʌ t,2.84,22
cia,1,with,w ɪ ð,2.84,22
fáj,1,feel,f i l,2.84,22
irány,1,it's,ɪ t s,2.84,22
négy,1,not,n ɑ t,2.84,22
szór,1,some,s ʌ m,2.84,22
sár,1,should,ʃ ʊ d,2.84,21
bőv,1,have,h æ v,2.84,20
tély,1,time,t aɪ m,2.84,20
vás,1,wish,w ɪ ʃ,2.84,20
bőr,1,but,b ʌ t,2.84,19
lég,1,like,l aɪ k,2.84,19
vágy,1,page,p eɪ dʒ,2.84,19
fér,1,feel,f i l,2.84,18
élv,1,have,h æ v,2.84,18
kór,1,can,k æ n,2.84,17
már,1,make,m eɪ k,2.84,17
igény,1,it's,ɪ t s,2.84,16
ráz,1,was,w ɑ z,2.84,16
táj,1,time,t aɪ m,2.84,16
álm,1,time,t aɪ m,2.84,16
gia,1,with,w ɪ ð,2.84,15
gyár,1,job,dʒ ɑ b,2.84,15
jék,1,like,l aɪ k,2.84,15
esély,1,end,ɛ n d,2.84,14
lás,1,like,l aɪ k,2.84,14
száj,1,some,s ʌ m,2.84,14
váll,1,vote,v oʊ t,2.84,12
ajtó,1,ain't,eɪ n t,2.84,11
gól,1,will,w ɪ l,2.84,11
hús,1,have,h æ v,2.84,11
ján,1,one,w ʌ n,2.84,11
jég,1,use,j u s,2.84,11
képp,1,can,k æ n,2.84,11
áns,1,and,ʌ n d,2.84,11
bér,1,but,b ʌ t,2.84,10
csúsz,1,this,ð ɪ s,2.84,10
gyűj,1,job,dʒ ɑ b,2.84,10
rét,1,that,ð æ t,2.84,10
tész,1,this,ð ɪ s,2.84,10
zsák,1,like,l aɪ k,2.84,10
csík,1,like,l aɪ k,2.84,9
fúj,1,feel,f i l,2.84,9
rák,1,like,l aɪ k,2.84,9
szír,1,some,s ʌ m,2.84,9
tív,1,have,h æ v,2.84,9
vív,1,have,h æ v,2.84,9
árd,1,and,ʌ n d,2.84,9
árt,1,that,ð æ t,2.84,9
érm,1,time,t aɪ m,2.84,9
gáz,1,was,w ɑ z,2.84,8
gén,1,one,w ʌ n,2.84,8
lóg,1,like,l aɪ k,2.84,8
pály,1,put,p ʊ t,2.84,8
szőr,1,some,s ʌ m,2.84,8
ízl,1,will,w ɪ l,2.84,8
búj,1,but,b ʌ t,2.84,7
csász,1,this,ð ɪ s,2.84,7
ernyő,1,end,ɛ n d,2.84,7
gát,1,that,ð æ t,2.84,7
hár,1,have,h æ v,2.84,7
még,1,make,m eɪ k,2.84,7
rém,1,time,t aɪ m,2.84,7
szúr,1,some,s ʌ m,2.84,7
sáv,1,have,h æ v,2.84,7
húg,1,have,h æ v,2.84,6
józs,1,use,j u s,2.84,6
ria,1,with,w ɪ ð,2.84,6
rász,1,this,ð ɪ s,2.84,6
vám,1,time,t aɪ m,2.84,6
váz,1,was,w ɑ z,2.84,6
ebéd,1,end,ɛ n d,2.84,5
győr,1,job,dʒ ɑ b,2.84,5
héj,1,have,h æ v,2.84,5
lós,1,like,l aɪ k,2.84,5
máj,1,make,m eɪ k,2.84,5
rál,1,will,w ɪ l,2.84,5
rán,1,one,w ʌ n,2.84,5
szégy,1,some,s ʌ m,2.84,5
ttél,1,will,w ɪ l,2.84,5
túr,1,time,t aɪ m,2.84,5
víg,1,vote,v oʊ t,2.84,5
bács,1,but,b ʌ t,2.84,4
bécs,1,but,b ʌ t,2.84,4
csák,1,like,l aɪ k,2.84,4
csőd,1,and,ʌ n d,2.84,4
erény,1,end,ɛ n d,2.84,4
gász,1,this,ð ɪ s,2.84,4
infó,1,it's,ɪ t s,2.84,4
kőr,1,can,k æ n,2.84,4
ménny,1,make,m eɪ k,2.84,4
nős,1,not,n ɑ t,2.84,4
ruha,1,would,w ʊ d,2.84,4
súg,1,should,ʃ ʊ d,2.84,4
tőr,1,time,t aɪ m,2.84,4
zűr,1,zone,z oʊ n,2.84,4
ányz,1,was,w ɑ z,2.84,4
átk,1,like,l aɪ k,2.84,4
érv,1,have,h æ v,2.84,4
étk,1,like,l aɪ k,2.84,4
igaz,1,in,ɪ n,2.86,38
ajánl,1,on,ɑ n,2.86,26
arany,1,on,ɑ n,2.86,15
arány,1,on,ɑ n,2.86,12
olyan,1,all,ɔ l,2.86,11
ilyen,1,in,ɪ n,2.86,9
abál,1,on,ɑ n,2.86,4
acél,1,on,ɑ n,2.86,3
létre,1,let's,l ɛ t s,2.87,24
méltó,1,felt,f ɛ l t,2.87,11
szólít,1,self,s ɛ l f,2.87,11
kínál,1,can't,k æ n t,2.87,10
számlá,1,still,s t ɪ l,2.87,9
sétál,1,shots,ʃ ɑ t s,2.87,9
bármi,1,blame,b l eɪ m,2.87,8
bárki,1,black,b l æ k,2.87,5
lépcső,1,lips,l ɪ p s,2.87,5
nként,1,skin,s k ɪ n,2.87,5
opera,1,spell,s p ɛ l,2.87,5
táská,1,tank,t æ ŋ k,2.87,5
aink,1,swing,s w ɪ ŋ,2.87,4
akaszt,1,scott,s k ɑ t,2.87,4
hátra,1,hits,h ɪ t s,2.87,4
márká,1,milk,m ɪ l k,2.87,4
unoka,1,snake,s n eɪ k,2.87,4
unoká,1,snake,s n eɪ k,2.87,4
dre,1,did,d ɪ d,2.907,5
the,1,time,t aɪ m,2.907,4
méter,1,meets,m i t s,2.92,31
tétel,1,tits,t ɪ t s,2.92,24
vétel,1,votes,v oʊ t s,2.92,13
ába,1,stop,s t ɑ p,2.92,12
óra,1,stop,s t ɑ p,2.92,8
tra,1,stop,s t ɑ p,2.92,6
sétek,1,shots,ʃ ɑ t s,2.92,4
tha,1,stop,s t ɑ p,2.92,4
uralm,1,skull,s k ʌ l,2.933,4
működ,1,makes,m eɪ k s,2.97,55
főnök,1,find,f aɪ n d,2.97,6
ügyész,1,age,eɪ dʒ,2.985,6
zsír,1,zone,z oʊ n,2.99,5
állít,1,don't,d oʊ n t,3.02,103
társ,1,told,t oʊ l d,3.02,48
gondol,1,find,f aɪ n d,3.02,44
játsz,1,yield,j i l d,3.02,39
foglal,1,fault,f ɔ l t,3.02,35
végz,1,please,p l i z,3.02,32
